PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-12-18,0.00, 0.00, 0.00, 2.05, 1.72, 7.57, repro,
2004-12-19,-0.77, -0.83, 2.28, 1.99, 1.66, 7.32, repro,
2004-12-20,-0.63, -0.71, 11.05, 1.97, 1.65, 7.29, repro,
2004-12-21,-0.75, -1.81, 6.33, 1.99, 1.67, 7.47, repro,
2004-12-22,-0.31, -0.31, -1.32, 1.98, 1.67, 7.46, repro,
2004-12-23,-0.17, -1.35, 3.93, 1.93, 1.63, 7.17, repro,
2004-12-24,-0.64, -1.31, 3.75, 1.97, 1.66, 7.27, repro,
2004-12-25,-0.61, -1.67, 12.90, 1.96, 1.66, 7.24, repro,
2004-12-26,-0.75, -2.36, 10.90, 2.02, 1.67, 7.42, repro,
2004-12-27,3.47, -2.81, 17.57, 2.03, 1.66, 7.5, repro,
2004-12-28,0.17, -1.28, 13.76, 2.1, 1.71, 7.7, repro,
2004-12-29,1.15, -1.40, 9.37, 2.06, 1.68, 7.58, repro,
2004-12-30,-1.66, -3.90, 7.83, 2.18, 1.76, 7.91, repro,
2004-12-31,1.33, -1.04, 14.14, 2.2, 1.82, 7.95, repro,
2005-01-01,0.06, -1.68, 3.91, 2.05, 1.67, 7.59, repro,
2005-01-02,1.56, -0.78, 3.92, 2.11, 1.7, 7.7, repro,
2005-01-03,0.23, -1.56, 5.16, 2.1, 1.69, 7.66, repro,
2005-01-04,-0.55, -3.81, 5.19, 2.17, 1.75, 7.73, repro,
2005-01-05,0.58, -1.67, 4.64, 2.06, 1.67, 7.61, repro,
2005-01-06,2.04, -1.33, 5.05, 2.17, 1.84, 7.97, repro,
2005-01-07,-2.22, -3.09, 14.25, 2.09, 1.71, 7.82, repro,
2005-01-08,-0.97, -3.30, 9.65, 2.08, 1.76, 7.74, repro,
2005-01-09,-1.41, -2.97, 9.30, 1.99, 1.66, 7.48, repro,
